trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-150.9824315574787,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-142.92027823918917,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-96.66316522820517,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-65.31833667867915,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-148.441770808157,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-203.31904803036682,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-130.9988605245799,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-76.71652426566959,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-229.58023458799312,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-75.93851688738084,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-183.2603708327226,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-110.91483083689268,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-157.23429814833042,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-107.63848613355914,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-74.00202927619075,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-108.9867916598233,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-131.01238891333972,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-117.01128927130043,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-94.89166480326593,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-53.64319600665042,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-98.02263440517062,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-102.54018671308131,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-173.72515602677328,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,0,-173.3322144527587,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-233.47044021393188,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.60467018508474,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-180.51359691297606,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.01800813593826,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-215.03998823178947,"{0: 6, 1: 5, 2: 4, 3: 2, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-158.8521156942874,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
