trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 0.9801986733067553}",35,0,-97.65670033197648,"{0: 22, 1: 6, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9607894391523232}",25,0,-185.99588259495104,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
3,False,"{'a': 0.5399999999999999, 'e': 0.9417645335842487}",25,0,-205.4315755051263,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9231163463866358}",25,0,-29.31362621637068,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9048374180359595}",20,0,-32.491685183193596,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.47999999999999987, 'e': 0.8869204367171575}",25,0,-132.2122775696013,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8693582353988059}",20,0,-107.3207547432729,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8521437889662113}",20,0,-25.503458268843033,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.835270211411272}",30,0,-134.0472420781104,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.8187307530779818}",25,0,-153.39639089483953,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.3799999999999998, 'e': 0.8025187979624785}",20,0,-60.72030001513729,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.7866278610665535}",20,0,-104.44403442668002,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7710515858035663}",25,0,-164.66248849866557,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.31999999999999973, 'e': 0.7557837414557255}",25,0,-131.88465384828507,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7408182206817179}",20,0,-58.53811577963043,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.2799999999999997, 'e': 0.7261490370736909}",20,13,-23.251374763124943,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.2599999999999997, 'e': 0.7117703227626098}",20,0,-30.888215660974815,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.697676326071031}",20,0,-116.19892373869868,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.6838614092123558}",20,0,-84.97695331672492,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.1999999999999997, 'e': 0.6703200460356393}",25,0,-60.02742735816024,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.1999999999999997, 'e': 0.6570468198150569}",25,8,-71.4629862883196,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
