trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",35,0,-192.1413059024954,"{0: 25, 1: 1, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-124.76932687706528,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-50.83756716379534,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-167.59042459601295,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,6,-97.52795974234913,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.97}",20,10,-1.2372586395812726,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.965}",35,0,-238.1234896550818,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-123.47935735956762,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-143.51084340829905,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-119.6977489663719,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-102.73219113003142,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-117.40165720633196,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-61.76857568601143,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-179.50289500163564,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-78.66621881115434,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",35,0,-117.033728346457,"{0: 23, 1: 5, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-68.64819861983254,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-141.32255019019252,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-63.53242406999451,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-126.66430409096667,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.0638048819674,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,4,-70.35995690715166,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-161.00704727152245,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-156.08454793297207,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-57.8699138813032,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-156.29341280961805,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,0,-256.9436834060849,"{0: 18, 1: 7, 2: 4, 3: 2, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-144.87502471351195,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
