trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 0.9801986733067553}",25,0,-125.68455438484806,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9607894391523232}",25,0,-98.46899196343344,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5399999999999999, 'e': 0.9417645335842487}",20,0,-92.52816287661395,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9231163463866358}",30,0,-200.03372983221024,"{0: 12, 1: 4, 2: 10, 3: 3, 4: 1}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9048374180359595}",25,0,-221.00919515649554,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.47999999999999987, 'e': 0.8869204367171575}",30,0,-162.8406205740519,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8693582353988059}",20,0,-64.05840784972287,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8521437889662113}",30,11,-60.47938654205811,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.4199999999999998, 'e': 0.835270211411272}",25,0,-44.717200498941224,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.8187307530779818}",20,1,-67.30413279202763,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
11,False,"{'a': 0.3799999999999998, 'e': 0.8025187979624785}",20,0,-43.38771686041398,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.7866278610665535}",30,0,-232.5936388179151,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7710515858035663}",25,0,-37.131520675212144,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.31999999999999973, 'e': 0.7557837414557255}",30,0,-75.1286243612025,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7408182206817179}",20,0,-81.41601853273778,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.2799999999999997, 'e': 0.7261490370736909}",25,10,-70.86674805699077,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.2599999999999997, 'e': 0.7117703227626098}",20,0,-101.30243442067322,"{0: 12, 1: 4, 2: 0, 3: 3, 4: 1}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.697676326071031}",25,0,-62.91205761558393,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.6838614092123558}",25,8,-146.24546222120586,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 3}",1
20,False,"{'a': 0.1999999999999997, 'e': 0.6703200460356393}",20,0,-31.65902473468993,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.1999999999999997, 'e': 0.6570468198150569}",20,0,-164.26196759201864,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.1999999999999997, 'e': 0.6440364210831414}",20,15,9.675865742410771,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.1999999999999997, 'e': 0.631283645506926}",20,8,-16.131159144352683,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.1999999999999997, 'e': 0.6187833918061408}",20,0,-93.23231317705988,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
25,False,"{'a': 0.1999999999999997, 'e': 0.6065306597126334}",25,5,-3.8419042241383767,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.1999999999999997, 'e': 0.5945205479701944}",20,0,-56.60535008454747,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.1999999999999997, 'e': 0.5827482523739896}",20,2,2.1690300073424087,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.1999999999999997, 'e': 0.5712090638488149}",20,0,-1.9520096800915998,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.1999999999999997, 'e': 0.559898366565402}",20,0,-25.539742452438546,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.1999999999999997, 'e': 0.5488116360940265}",25,2,-9.237048959636082,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.1999999999999997, 'e': 0.5379444375946745}",30,10,-87.6193082764042,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
32,False,"{'a': 0.1999999999999997, 'e': 0.5272924240430485}",30,0,4.939979809274921,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.1999999999999997, 'e': 0.5168513344916993}",20,0,-14.925175576091021,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.1999999999999997, 'e': 0.5066169923655897}",25,13,-23.490008502230328,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.1999999999999997, 'e': 0.4965853037914095}",20,5,-66.89754703539613,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
36,False,"{'a': 0.1999999999999997, 'e': 0.4867522559599717}",30,21,-37.020735779577926,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.1999999999999997, 'e': 0.47711391552103444}",30,18,6.112499975676126,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.1999999999999997, 'e': 0.46766642700990924}",20,0,-72.04495480744237,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
39,False,"{'a': 0.1999999999999997, 'e': 0.45840601130522357}",20,2,-75.29722043423864,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
40,False,"{'a': 0.1999999999999997, 'e': 0.44932896411722156}",20,10,-69.62334996669549,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.1999999999999997, 'e': 0.44043165450599925}",25,0,-85.5857572897351,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
42,False,"{'a': 0.1999999999999997, 'e': 0.43171052342907973}",25,0,-35.129333011611564,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.1999999999999997, 'e': 0.4231620823177488}",25,17,-4.437619169002511,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.1999999999999997, 'e': 0.4147829116815814}",20,0,-51.577899363394685,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.1999999999999997, 'e': 0.4065696597405991}",20,2,-20.91580101666554,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.1999999999999997, 'e': 0.3985190410845142}",20,11,-28.277238388853643,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
47,False,"{'a': 0.1999999999999997, 'e': 0.3906278353585211}",20,5,3.5018246743691686,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.1999999999999997, 'e': 0.38289288597511206}",25,10,-16.74420056485957,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.1999999999999997, 'e': 0.37531109885139957}",30,0,-13.17112034546351,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.1999999999999997, 'e': 0.36787944117144233}",25,0,-72.78954714049652,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.1999999999999997, 'e': 0.3605949401730783}",20,0,-5.562022603368911,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.1999999999999997, 'e': 0.35345468195878016}",35,0,-57.74697082536624,"{0: 29, 1: 4, 2: 0, 3: 0, 4: 2}",0
53,False,"{'a': 0.1999999999999997, 'e': 0.34645581033005746}",20,14,12.967086155021283,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1999999999999997, 'e': 0.33959552564493917}",25,0,-61.72222157781783,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 0.1999999999999997, 'e': 0.33287108369807955}",25,4,-59.039310971574366,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 0}",1
56,False,"{'a': 0.1999999999999997, 'e': 0.32627979462303947}",20,0,-45.19506455072625,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.1999999999999997, 'e': 0.3198190218163039}",30,0,-46.28099356521464,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.1999999999999997, 'e': 0.3134861808826053}",20,0,-40.295488043318905,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.1999999999999997, 'e': 0.30727873860113125}",20,8,12.724345703174476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1999999999999997, 'e': 0.30119421191220214}",30,12,15.298302372326821,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.1999999999999997, 'e': 0.2952301669240142}",25,0,-71.05693248166173,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
62,False,"{'a': 0.1999999999999997, 'e': 0.28938421793905067}",20,9,15.960844893666716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1999999999999997, 'e': 0.2836540264997704}",20,9,7.989035544245489,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1999999999999997, 'e': 0.27803730045319414}",20,16,5.888782068202715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1999999999999997, 'e': 0.2725317930340126}",30,2,20.204054173460893,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.1999999999999997, 'e': 0.2671353019658504}",25,12,20.05580660291793,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1999999999999997, 'e': 0.261845668580326}",25,0,-30.04683377124049,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",20,0,3.920927629435696,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.1999999999999997, 'e': 0.2515785530597565}",30,11,15.984078933601241,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160646}",35,0,6.399253543522627,"{0: 30, 1: 3, 2: 2, 3: 0, 4: 0}",0
